date,tot_cases,new_case,tot_death,new_death,State,population_estimate,state_abbreviation,normalized_tot_cases,normalized_new_case,normalized_tot_death,normalized_new_death,short_date
04/03/2020,10402,1436,192,38,Massachusetts,6976597,MA,1.4909847881424139,0.20583100901485352,0.027520580592515234,0.005446781575601974,3
04/07/2020,2003,88,67,8,Mississippi,2989260,MS,0.6700655011608224,0.02943872396512849,0.022413573927995555,0.0026762476331934995,7
04/03/2020,1358,0,29,0,Mississippi,2989260,MS,0.4542930357345965,0.0,0.009701397670326435,0.0,3
04/21/2020,4716,0,183,0,Mississippi,2989260,MS,1.5776479797675678,0.0,0.061219164609301296,0.0,21
04/30/2020,7212,643,282,32,Mississippi,2989260,MS,2.4126372413239396,0.2151034035179275,0.09433772907007085,0.010704990532773998,30
04/12/2020,2942,300,98,5,Mississippi,2989260,MS,0.9841900671069095,0.10035928624475624,0.03278403350662037,0.001672654770745937,12
04/11/2020,2642,173,93,11,Mississippi,2989260,MS,0.8838307808621532,0.05787385506780943,0.03111137873587443,0.0036798404956410614,11
04/29/2020,6569,0,250,0,Mississippi,2989260,MS,2.197533837806012,0.0,0.08363273853729686,0.0,29
04/22/2020,5153,437,201,18,Mississippi,2989260,MS,1.7238380067307628,0.14619002696319489,0.06724072178398668,0.006021557174685373,22
04/18/2020,3974,181,152,12,Mississippi,2989260,MS,1.3294260117888708,0.060550102701002924,0.05084870503067649,0.0040143714497902485,18
04/20/2020,4716,204,183,14,Mississippi,2989260,MS,1.5776479797675678,0.06824431464643424,0.061219164609301296,0.004683433358088625,20
04/14/2020,3360,273,122,11,Mississippi,2989260,MS,1.1240240059412698,0.09132695048272817,0.04081277640620087,0.0036798404956410614,14
04/25/2020,5718,284,221,12,Mississippi,2989260,MS,1.9128479958250537,0.09500679097836923,0.07393134086697042,0.0040143714497902485,25
04/01/2020,1177,104,26,4,Mississippi,2989260,MS,0.39374293303359365,0.034791219231515486,0.008697804807878871,0.0013381238165967497,1
04/06/2020,1915,177,59,8,Mississippi,2989260,MS,0.6406267771956939,0.05921197888440618,0.019737326294802057,0.0026762476331934995,6
04/15/2020,3624,264,129,7,Mississippi,2989260,MS,1.2123401778366552,0.08831617189538549,0.043154493085245174,0.0023417166790443123,15
04/02/2020,1358,181,29,3,Mississippi,2989260,MS,0.4542930357345965,0.060550102701002924,0.009701397670326435,0.0010035928624475621,2
04/10/2020,2469,0,82,0,Mississippi,2989260,MS,0.8259569257943438,0.0,0.027431538240233366,0.0,10
04/05/2020,1738,283,51,16,Mississippi,2989260,MS,0.5814147983112877,0.09467226002422004,0.01706107866160856,0.005352495266386999,5
04/28/2020,6569,227,250,11,Mississippi,2989260,MS,2.197533837806012,0.07593852659186555,0.08363273853729686,0.0036798404956410614,28
04/04/2020,1455,97,35,6,Mississippi,2989260,MS,0.4867425382870677,0.032449502552471185,0.01170858339522156,0.0020071857248951243,4
04/16/2020,3793,169,140,11,Mississippi,2989260,MS,1.2688759090878678,0.056535731251212674,0.04683433358088624,0.0036798404956410614,16
04/27/2020,6342,248,239,10,Mississippi,2989260,MS,2.1215953112141466,0.08296367662899848,0.0799528980416558,0.003345309541491874,27
04/23/2020,5434,281,209,8,Mississippi,2989260,MS,1.8178412048466845,0.09400319811592167,0.06991696941718017,0.0026762476331934995,23
04/13/2020,3087,145,111,13,Mississippi,2989260,MS,1.0326970554585415,0.048506988351632176,0.0371329359105598,0.004348902403939436,13
04/08/2020,2260,257,76,9,Mississippi,2989260,MS,0.7560399563771636,0.08597445521634117,0.025424352515338245,0.0030107785873426866,8
04/24/2020,5434,0,209,0,Mississippi,2989260,MS,1.8178412048466845,0.0,0.06991696941718017,0.0,24
04/26/2020,6094,376,229,8,Mississippi,2989260,MS,2.038631634585148,0.12578363876009446,0.07660758850016391,0.0026762476331934995,26
04/19/2020,4512,538,169,17,Mississippi,2989260,MS,1.5094036651211336,0.17997765333226284,0.056535731251212674,0.005687026220536186,19
04/09/2020,2469,209,82,6,Mississippi,2989260,MS,0.8259569257943438,0.06991696941718017,0.027431538240233366,0.0020071857248951243,9
04/17/2020,3793,0,140,0,Mississippi,2989260,MS,1.2688759090878678,0.0,0.04683433358088624,0.0,17
04/19/2020,31424,707,2391,84,Michigan,10045029,MI,3.1283135170640124,0.07038307206479942,0.23802818289524103,0.008362345195817753,19
