sentiment,magnitude,state,date
-0.1356150644069935,0.6545606730772362,NY,2
-0.16772306403522086,0.6824475899048109,OH,2
-0.15052473928215265,0.6742128965066471,OK,2
-0.18557214221081528,0.7093698216562049,OR,2
-0.1656612550172802,0.6979891760224348,PA,2
-0.09653179325981637,0.7236994280980501,RI,2
-0.14222222417593006,0.6777777823754865,SC,2
-0.10533333490292232,0.5840000028411547,SD,2
-0.1704128462855422,0.7116972518948104,TN,2
-0.17098436281976068,0.681343149601481,TX,2
-0.15864865077105728,0.6732432468920141,UT,2
-0.15425532147834345,0.6786052043732458,VA,2
-0.1534883737304183,0.7982558161020279,VT,2
-0.13728813720400498,0.6525659165266207,WA,2
-0.17310443702813386,0.7040057262360453,WI,2
-0.17000000201738796,0.7523076980159833,WY,2
-0.12226720860129907,0.6894736878785045,AK,3
-0.14743202578085066,0.6592145040293654,AL,3
-0.2006880756843528,0.7245412861091007,AR,3
-0.16556862924028845,0.7060392187740289,AZ,3
-0.14835602985970284,0.6800730687163075,CA,3
-0.14390415998623352,0.6808315746018885,CO,3
-0.1489323861499274,0.6583629925321005,CT,3
-0.0812500003958121,0.6734375044470653,DC,3
-0.12904762132536798,0.6304761934493269,DE,3
-0.14985004462774176,0.6787917771454081,FL,3
-0.15419254841294533,0.6621118052139509,GA,3
-0.11571906502031562,0.6618729125596209,HI,3
-0.17751938208591106,0.6875969018180703,IA,3
-0.13716216387881622,0.6689189212094689,ID,3
-0.16351590320046713,0.6867491198841864,IL,3
-0.11914480221254138,0.6839650168623939,IN,3
-0.13836478130809915,0.6432704430331224,KS,3
-0.1567662589003206,0.6325131846568915,KY,3
-0.16238698262256482,0.6609403295391938,LA,3
-0.1464358468268772,0.670162936221133,MA,3
-0.13628118087341184,0.6701814096902503,MD,3
-0.17233606783642633,0.6723360693326494,ME,3
-0.1567567587599211,0.6952408963177446,MI,3
-0.1553219467616896,0.6306176119619851,MN,3
-0.14268833221633814,0.6689807996373938,MO,3
-0.14065573994742064,0.7026229546206897,MS,3
-0.146982759494206,0.7060344866958672,MT,3
-0.15440547660031412,0.6958083852271528,NC,3
-0.1432835841134413,0.8119403056021947,ND,3
-0.1540178580076567,0.6812500028671431,NE,3
-0.1366795398381226,0.7386100429710735,NH,3
-0.14314429459816588,0.7047379796272204,NJ,3
